Bidwesh_Original,sylhety,Sylhaty_Romanize,Label,Annotator,Status,,,
পর্ণ স্টার আবার মডেল ও হয়???,,porn star abar model o oy???,0,Jaina,Done,,,
এমন কান্না দেখে খোব কস্ট হয় একটা মানুষ যদি অপরাধ করার আগে একটু ভাবতো তাহলে হয়তো আজ এতো গুলো মানুষকে আজ কান্নাহ করতে হতনা আপন জন হারানো কষ্ট ভুগ করতে হতনা দোয়া করি আল্লাহতালার কছে এমন অপরাধ থেকে মানব জাতীকে বীরত রাখে ? আম িন,,ilan kandon dekhia khub koshto oy ekta manushe judi oporadh korar age ektu chita korto te hoyto aij otota manushre aij kanda laglona one aponjon haranir koshto bhug kora laglona one dua kori  allahtayalar kase ilan oboradh taki mansuh jatire biroto rakhta? amin,0,Jaina,Done,,,
আরেকটু জিস হওয়া ছিল,,arektu jis owa asil,0,Jaina,Done,,,
আমরা মোদীর বিরুদ্ধে মতপ্রকাশ করিতেছে কাশ্মীর তার নিজের অবস্থানে থাকতে দেওয়া উচিত টা,,amra modir biruddhe mot prokash koriar kashmirre tar nijor obosthano thakte deoa uchit,0,Jaina,Done,,,
কত প্রমান লাগবে তার কাপুর নস্ট করেছে কিনা সেটা কি তদন্ত কমিটি তদন্ত করবে,,koto proman lagbo tar kapor noshto korse nina ikan kita todonto commitee a todonto korboni,0,Jaina,Done,,,
ভাই আমার মনে হচ্ছে। এই রকম ইমান হারা না হয়ে। ভারতের হিন্দু হাতে মরা ভালো। ভারতে এই রকম মাল আছে। কিন্তু ওদের কাছে বাচ্চা। আমরা অনেক ভালো আছি,,bhai amar mono or.  ilakhan iman hara na oijay.  bharotor indur haato mora bala. bharoto ou lakhan mal ase. kintu tarar kase baiccha. amra bout bala asi,0,Jaina,Done,,,
মিয়া আপনি এসলে একটা ফালতু এসব আজাইরা খবর দিয়া বকা বানাচ্ছেন মানুসকে,,mia afne ashole ekta faltu ita ajaira khobor dia buka banaira manushre,0,Jaina,Done,,,
চমৎকার একটা ছবি।,,chomotkar ekta sobi.,0,Jaina,Done,,,
যে পযর্ন্ত শাকিব ভাই খেলবে না সেই পযর্ন্ত আমি আর খেলা দেখবো না ভাইয়া রা।,,shesh porjonto sakib bhaiye r khelta na oto shomoy porjonto ami r khele dekhtam na bhaiya hokhol.,0,Jaina,Done,,,
উনি বাংলাদেশের চারপাশ বলতে নোয়াখালী দেশকে বুঝাচ্ছেন।,,tain bangladeshor chairobay koite nuakhali deshre bujaira,0,Jaina,Done,,,
তে ফ্রি খাবার দেয় ।অবাক কাণ্ড ।অদ্ভুত এ দেশ ।,,te free khani de. obak kando. odbhot e desh.,0,Jaina,Done,,,
আপনি থিকিই বলছেন মেমআপনার সাথে আমি একমতআমি সাকিব খানকে খুব তাড়াতাড়ি অপু দিদি সাথে কথা বলে দেখতে চাই,,afne tiku koison ma'am afnar loge ami ekmot ami sakib khanre khub joldi joldi opu didir loge mater dekhtam chai,0,Jaina,Done,,,
সরকারের দরকার যেখানে মহিলা অফিসার সেখানে মহিলা সব দেয়া উচিত আর যেখানে পুরুষ সেখানে পুরুষ মানুষ দেয়া উচিত কিন্তু সরকার সব সচিব আর মন্ত্রী রা সবাই কি এক ধরনের কের কি এই বুদ্ধি আর মন ভাব আসে না সব অফিসে আর সব যায়গায় মহিলা আর পুরুষ আলাদা করে চাকরি হোক,,shorkaror dorkar jekhano mohila officer ikano mohila shob deoa uchit ar jekhano purush ikano purush manush deoa uchit kintu shorkar shob shochib r montri hokhol shob kita eklakhan ni  keuror kita e buddhi r mono bhab ay nani shob office o r shob jagat mohila r purush alada kori chakri ouk,0,Jaina,Done,,,
কমেন্ট পড়তে আসলাম।,,comment porat ailam.,0,Jaina,Done,,,
��� কুকুর ���,,��� kutta ���,0,Jaina,Done,,,
"sir,রা এচ্ছে করলেই এগুলো বন্ধ করতে পারে কিন্তু করেনা কারন এতে তাদের লাফ আছে।এগুলোর কারনে ছাত্র-ছাত্রীরা পড়ালেখা করে না।এগুলো বন্ধ করেন।",,sir hokhle iccha korleu ita bondho korta paroin kintu koroin na karon itat tarar labh ase. itar karone satro-satrinte pora lekha koroin na. ita bondho korokka.,0,Jaina,Done,,,
তর ফকিরবিৰুদেজানা নাই ভনডদেৰ পাও দৰে থাক,,tumrar fokinni hoklor kaslot jana ase bhondo hoklor pao o doria thako,0,Jaina,Done,,,
আপু আপনি কোন জেলার মেয়ে জানতে পারি কি জানালে খুশি হতাম,,apu afne kun jelar furi jantam farmumi janle khushi oilam one,0,Jaina,Done,,,
তাহেরী মদ খাইছে না না পাগল কুকুর কামড় দিয়েছে,,taheriye mod khaise nina pagol kuttay kamor dise,0,Jaina,Done,,,
নুসরাত,,nusrat,0,Jaina,Done,,,
শান্তর থেকে সাইফ হাসান ভালো,,shantor taki saif hasan bala,0,Jaina,Done,,,
"ফেসবুক লাইভ বিষয়টি কী, আমি সেটা সঠিক জানি না।��",,"facebook live bishoyta kita, ami ikta tik janina��",0,Jaina,Done,,,
চামচামি শেষ ডাসবিনে ফেলে দিবে সময়ের বেপার,,chamchami shesh dustbin o falaidibo shomoyor bepar,0,Jaina,Done,,,
ও সেই,,o shei,0,Jaina,Done,,,
এটা কি অনুষ্ঠান নাকি ফাযলামি।,,ikta kita onushtan nina faijlami,0,Jaina,Done,,,
তদের বিরুদ্ধে একশন নেওয়া হবে ত্বরা বাস্তবেই ইয়াবা ব্যবসা করিস।থানায় তদের নামে জিডি করা হয়েছে,,tumrar biruddhe action neoa oibo tumra bastobeu iyaba bebsha koro. thanat tumrar name GD kora oise.,0,Jaina,Done,,,
ভাই এগুলো শুনতে আর ভালো লাগে না!!! খুব কষ্ট লাগে,,bhai ita hunte ar bala lage na khub koshto lage,0,Jaina,Done,,,
আল্লাহ পাক তাদের উপর গজব ফেলুক,,Allah pake tarar ufre gojob falaokka,0,Jaina,Done,,,
পাপন তুমি যতই নিজের সাফাই গাও আমরা জনগন বুজতে পারি বিসিবির মধ্যে কালো ভুত ঠুকেছে।,,papon tumi jotou nijor safai gao amra jonogone bujtam fari BCBr bitre bhut hamaise,0,Jaina,Done,,,
পদা সেতো আমরো চাইনা,,podda setu amra chai na,0,Jaina,Done,,,
এ মানুষ না জানোয়ার এর ফাঁসি হওয়া দরকার,,igu manush nay januar igur fashi owa dorkar,0,Jaina,Done,,,
"ছাগল জাফ্রিকবালের কাছে প্রশ্ন, কেন রাজাকার শব্দ টা ছাত্রসমাজ বরণ করছে????কই এতো লিখলেন মুতিয়া কে নিয়ে তো কিছুই বললেন না। বলবেনই বা কেন? আপনি তো দআকার দালাল।",,"sagol jafor ikbalor kase proshno, kene rajakar shobdo ikta satro shomaje boron korse????koi otota lekhla mutia re loia to kicchu koila na.  koitau ba kene? afne to doy akare dalal.",0,Jaina,Done,,,
আল্লাহ এসব নাস্তিকদের উপরে গজব দেক!!,,Allahy ita nastik hokhlor ufre gojob deokka,0,Jaina,Done,,,
নারকেল গাছের মাথায় ঠাডা না পড়ে এদের মাথায় কেন পড়ে না,,naikol gasor mathat thata na poria otar matat kene pore na,0,Jaina,Done,,,
তিশা সাহানাজ ও চঞ্চলকুমার এর নাটক মজাদার,,tisha shahanaj ar chonchol kumaror natok mojadar,0,Jaina,Done,,,
আমি বুজলাম না যেটা গটেছে তার পড়ে ও কেন তাকে হ্যারেজ ম্যান করা হলো সত্যি পোশাক পড়া লোকরা তো দেখছি নিশা খোর প্লিজ দয়া করে কেও আপনেরা দর্শক দের কে হয়রানি করবেন না প্লিজ,,ami bujlam na jekta ghotse tar poreo kene tare harassment kora oilo hasa kapor finda manushhokhol to dekhiar nisha khur please doya kori afnara keu dorshok hokhlore hoyrani koroinna jeno please,0,Jaina,Done,,,
আপনি কি পাবনার,,afne kita pabnar ni,0,Jaina,Done,,,
আমার সিলেটি পুইরাইন কোব ভালা,,amar sylhety furin khub bala,0,Jaina,Done,,,
এসব খারাপ মেয়ের কোন পোস্ট আপনেরা করেন না প্লিজ,,ita bad furintor kuno post afnara koroinna jeno please,0,Jaina,Done,,,
যাই হক এতোদিন পরে সঠিক বিছার হইতাছে নুসরাতের আত্মা শান্তি পাবে,,jetau ouk otodin bade shotik bichar or nusrator attay shanti faibo,0,Jaina,Done,,,
চিন্তা করি সন্তানগুলা সমাজে কিভাবে মুখ দেখাবে �,,chinta koriar huruta igunte shomajo kila mukh dekhaiba�,0,Jaina,Done,,,
আগে নিজের চেহারা আয়না দেখো পরে বিচার,,age nijor chehara aynat dekho pore bichar,0,Jaina,Done,,,
মজা নাই জনশূন্য এভারের বিপিএল,,moja nai jonoshunno ibaror bpl,0,Jaina,Done,,,
আমার মতে মিননি জরিত,আমার মতে মিননি জরিত,amar mote minni jorito,0,Akash,Done,,,
ত্রকটি সুন্দর রায় দিয়েছেন বাংলাদেশ সরকার আমরা সকল ত্রস্তরের জন গন খুসি দুরুতো বেগে রায় কার জোকর করা হোক,ইকটা  সুন্দর রায় দিছে বাংলাদেশ সরকার আমরা  স্তরের মানুষ খুসি তাড়াতাড়ি এই রায় কারজকর করা হুউক,ikta sundor ray dise bangladesh sorkar amra sob levelor manush khusi taratari ei ray karjokor kora ouk,0,Akash,Done,,,
এই মেয়ে জড়িত মনে হয়,অউ ফুরি জড়িত মনে অয়,ou furi jorito mone oy,0,Akash,Done,,,
শাকিব,সাকিব,shakib,0,Akash,Done,,,
এমন স্বামী পাওয়াটা ভাগ্যের( পতিতাদের জন্য) ! যদিও তা পাবার সম্ভাবনা খুবেই সীমিত !,ওমন স্বামী পাওয়া ভাগ্যের (পতিতার লাইগা)! যদিও ওটা পাওয়ার সম্ভাবনা খুব কম।,ola jamai pawa bhaggor(magir lagi)!jodio ita pawar somabona kom,0,Akash,Done,,,
হলুদ মিডিয়ার হলুদ নিউজ। আর নিউজ পাছ না?? ভারতের দালালি ছাড়,হলুদ মিডিয়ার হলুদ নিউজ। আর নিউজ নায় নি? ভারতের দালালি ছাড়,holu mediar holud news r news naini ?indiar dalali charo,0,Akash,Done,,,
জোর করে ট্রল বানায় লাভ কি ভাই! তাহসিনেশন মার্কা এক ক্লিপ বারবার দেখানো টা একটা ভাইরাল ডিজিজ হয়ে গেছে,জোর কইরা ট্রল বানাইয়া লাভ কিতা ভাই! তাহসিনেশন মার্কা একই ক্লিপ বারবার দেখানো একটা ভাইরাল রোগ অইয়া গেছে।,jur kori troll banaia lav kita vai! tahsination marka ek e clip barbar dekan ekta viral bemar oigese,0,Akash,Done,,,
তুইও তো প্রান বাচানোর জন্য গর্তে লুকিয়েছিলি।,তুইও তো প্রাণ বাঁচাইবার লাইগা গর্তে লুকাইছিলি,tui oto jan basaibar lagi ghato hamaisle,0,Akash,Done,,,
এই দালাদ দের ভাত রানদে কে,এই দালালগোর ভাত রান্দে কে,e dalal  iguntor vat rande kigiye,0,Akash,Done,,,
তোমাদের ভিডিও আমার ভালো লাগে,তোমার ভিডিও আঁর ভালা লাগের,tumar video amar vala lage,0,Akash,Done,,,
খালেদার দালাল,খালেদার দালাল,khaledar dalal,0,Akash,Done,,,
এই সব নস্টা দের কে আমাদের পবিত্র মা বোন দের সাথে মিশাবেন না# কারন আমাদের মা বোন রা ওদের মত নস্টা না,"এইসব নষ্টা দের লগে আমাদের পবিত্র মা-বইনরে মিশাইও না, কারন আমাগো মা-বইন ওদের মতো নষ্টা নায়।","ita noshtaintor loge amrar pobitro ma boinre mishaiona,karon amrar ma boin itar lakan noshto nay",0,Akash,Done,,,
সব কিছুর মধ্যে ও সকল কাজ কর্ম ঠিকই আছে টাকা মালেশিয়া পাচার হচ্ছে কিনা,"সবকিছুর মাজে, সব কাম ঠিকই আছে—টাকা মালয়েশিয়া পাচার অইতাছে নি",sobtar majhe sob kam tikase tk malaysia pachar or ni,0,Akash,Done,,,
অনেক ভালো খেলা হয়েছে‌। আবু হায়দার রনি অনেক ভালো খেলেছে।মালান নিয়মিত ভালো খেলা উপহার দিতে ছে।,অনেক ভালা খেলা অইছে। আবু হায়দার রনি অনেক ভালা খেলছে। মালান নিয়মিত ভালা খেলা উপহার দিতাছে,khub vala kela oise. abu haydar roni khub bala kelaise .malan e ruj vala kelao upohar der,0,Akash,Done,,,
"স্যার মুক্তিযুদ্ধ নিয়ে আপনার এত চেতনা,, তাহলে যুদ্ধে জান নি কেন??? তখন চেতনা কোথায় ছিলো??? স্যার মনে হয় এইবার নির্বাচন করবে তাই এত চাটুকারিতা।। আপনার মত শিক্ষিত দালারের জন্য বিন্দুমাত্র সম্মানবোধের সঞ্চার হয় না।।","স্যার, মুক্তিযুদ্ধ লইয়া এত চেতনা, তয় যুদ্ধে জাইন নি ক্যান? তহন চেতনা কই আছিল?স্যার মনে অয় এবার নির্বাচন করবা, তাই এত চাটুকারিতা। আপনার মতো শিক্ষিত দালালের লাইগা কোনো সম্মান অয় না।",sir muktijuddho loia oto chetona te muktijuddhot gela na kne?hisomoy chetona koi asil? sir mone oy ibar election korba otar lagi oto chatukarita.apnar lakan sikkito dalal or lagi kuno somman oy na,0,Akash,Done,,,
￰মহিলার বিচার চাই,￰মহিলার বিচার চাই,betir bichar chai,0,Akash,Done,,,
এর সবচেয়ে খারাপ গন্ধযুক্ত পাদ দেওয়ানবাগীর মুখে মারা উচিত তাহলে সে ঠিক হবে,"অর সবচেয়ে খারাপ গন্ধযুক্ত পাদ দেওয়ানবাগীর মুখে মারা উচিত, তাহলে তাই ঠিক হইব",tar sob thaki bad gondoala pad dewanbaghir muko mara uchit tow tik oibo,0,Akash,Done,,,
আওয়ামী লীগ ভোট চোর,আওয়ামী লীগ ভোট চুর ।,awamileague vote chur,0,Akash,Done,,,
ভাই। সত্যকে প্রকাশ করার জন্য ধন্যবাদ। সামনে আরো এগিয়ে যান ভাই।।।,"ভাই, সত্য কওয়ার লাইগা ধন্যবাদ। সামনে আরো আগাইয়া যাও ভাই।",vai hasa matar lagi dhonnobad samdedi aro aguaia jao vai,0,Akash,Done,,,
ডিসির অফিসেই পতিতালয়,ডিসির অফিসেই পতিতালয়।,dc r office o ow maghir ghor,0,Akash,Done,,,
কাওয়া কাদের সাথে বেগম জিয়ার তুলনা শুনতে ও লজ্জা লাগে হায়রে বাংলাদেশ।,কাওয়া কাদের লগে বেগম জিয়ার তুলনা হুনতে  লজ্জা লাগের—হায়রে বাংলাদেশ।,kawwa kader or loge begum zia r tulona hunteo  sorom korer hayree bangladesh,0,Akash,Done,,,
আপু আমি নোতোন,"আপু, আমি নোতোন",apu ami noya,0,Akash,Done,,,
মিন্নিকে দরে নিয়ে রিমান্ডে নেন সব বের হবে,"মিন্নিকে ধইরা রিমান্ডে নিয়া যাও, সব বাইর অইবো।",minni re doria remand o loia jao sobta baroibo,0,Akash,Done,,,
কি বলবো ভাষা হারিয়ে ফেলছি,"কিতা কইমু, ভাষা হারাই ফেলসি।",kita koitam basha arailisi,0,Akash,Done,,,
আসলে সৃজিত মিথিলা জনি ইউজ করে না করেছে পায়খানার পথ ইউজ করছে যার কারনে সৃজিত বলে মিথিলা ভাজিন,আসলে সৃজিত-মিথিলা বিষয়টা যোনি ইউজ করে না করছে পায়খানার পথ ইউজ করছে যার কারনে সৃজিত বলে মিথিলা ভারজিন,asole sujit r mithila jinista fund use korsena paykhanar rasta use korse otar lagi srijit e koy mithila virgin,0,Akash,Done,,,
দেখতে ডাকাতের মত,দেখতে ডাকাতের মতো।,dekte dakait or lakan,0,Akash,Done,,,
বিএনপি হচ্চে জংগি পাকিস্তানি প্রোডাক্সসন,বিএনপি অইলো জংগি পাকিস্তানি প্রোডাকশন।,bnp oilo jongi pakistani production,0,Akash,Done,,,
এদের বেতন কমিয়ে দেন।।।।,এদের বেতন কমাইয়া দেউক্কা ।,otar beton komaia deokka,0,Akash,Done,,,
অবশ্যই জাকির নায়েক নির্দোস,অবশ্যই জাকির নায়েক নির্দোষ।,obossoi jakir nayek nirdush,0,Akash,Done,,,
এমন ভাবে ছেলেটাকে মারলো আর এই সব জানোয়ার গুলো তাকিয়ে দেখলো? হায়রে সোনার বাংলাদেশের মানুষ। দুই জন মানুষ যদি এগিয়ে আসতো তাহলে এই ভাইকে জীবন দিতে হতো না।,"এইভাবে ফুয়াডারে  মারলো, আর এইসব জানোয়ারগো তাকাইয়া দেখলো? হায়রে সোনার বাংলাদেশর মানুষ! দুইজন মানুষ যদি আগাইয়া আইতো, তইলে এই ভাইরে জান দিতে অইতো না।",ola fuatare marlo ar janowar hokle saia dekla hayre sonar bangladeshor manush duijon manush jodi aguaia aito taile ou vaire jan dite oitona,0,Akash,Done,,,
বোকা লোক মাথায় কিছু নাই। ওনি আবার ডিসি!,"বোকা মানুষ, মাথায় কিছুনাই। হে আবার ডিসি!",awwa manush matat kiccu nai hay abar dc,0,Akash,Done,,,
অসাধারণ একটা কিস্ছা খুব ভালো লাগলো।,"অসাধারণ ইকটা কি চা, খুব ভালা লাগলো।",osadaron ekta kiccha khub vala laglo,0,Akash,Done,,,
একটা আমরা তো বাংলাদেশি গান থেকে এইটাই আশা করিগানটার সাথে সাথে শুটিংটাও খুব ভালো হয়েছে,"ইকটা আমরা তো বাংলাদেশি গানত এইডাই আশা করি, গানটার লগে লগে শুটিংও খুব ভালা অইছে।",ikta amra tow bangladeshi gaan oktao asha kori gaanor loge loge shooting ta o khub vala oise,0,Akash,Done,,,
নাস্তিক েএরা চোর এরা ইসলাম বোঝে না,"নাস্তিক এরা চোর, এরা ইসলাম বুঝে না।",nastik ita chur itay islam bujoin na,0,Akash,Done,,,
আমি ছাএলীগ করি তবে এই সব কাজ দেখলে নিজেকে ও গৃন্যা হয় কিসের লীগ লীগ নামে দান্দা বাজি করে কিচু লোকেরা,"আমি ছাত্রলীগ করি, তয় অতা কাম দেখলে নিজের ঘিন্না লাগে—কিসের লীগ, লীগ নাম দিয়া দান্দাবাজি করে কিসু লোক।",ami satroleague kori kintu ita kam dekia ghin kore kitar league league nam dia dhandhabaji kore kichu manush,0,Akash,Done,,,
কই কি দোদের দোয়া তুলসি পাতা,"কই কি, দুধে দোয়া তুলসি পাতা!",koy kita dudher dhua tulsi pata,0,Akash,Done,,,
এত ভাল লাগে কেরে বুঝিনা,"এত ভালা লাগে কেরে, বুঝি না।",oto vala lage kene bujina,0,Akash,Done,,,
আপনার চ্যানেল এবং আপনার নাম সম্পূর্ণ ফেক,আপনের চ্যানেল আর আপনের নাম পুরা ফেক।,apnar channel ar apnar name fura fake,0,Akash,Done,,,
� পৃথিবীর সকল মুসলমানের মৃত্যু যেন কলেমা পড়ে হয়।� �❣️আমিন�❣️,দুনিয়ার সব মুসলমানের মরন যেন কালেমা পইড়া অয়—আমিন।,duniyar sob musolmanor moron jeno kalima poria oy aamin,0,Akash,Done,,,
আমি কশ্মীরের পক্ষে,আমি কাশ্মীরর পক্ষে।,ami kashmiror pokke,0,Akash,Done,,,
বাংলাদেশ ক্রিকেট দল এখন শেষ হওয়ার পথে। বাংলাদেশ ক্রিকেট দল যেমন হারিয়েছিল আশরাফুলকে। ঠিক তেমনি হারাবে সাকিব আল হাসানকে। একদিন এরকম হবে। বাংলাদেশ ক্রিকেট দল বলে থাকবে না।,"বাংলাদেশ ক্রিকেট দল ওখন শেষ অইবার পথে। বাংলাদেশ ক্রিকেট দল যেমন আশরাফুলরে হারাইছে, তেমনই একদিন হারাইবো সাকিব আল হাসানরে । একদিন এমন অইবো—বাংলাদেশ ক্রিকেট দল বইলাই কিসু থাকবো না।",bangladesh cricket dol ekhn sesh oibar pothe bangladesh cricket dol jela ashraful re araise ola ekdin shakib al hasan re o araibo ekdin ola aibo bangladesh cricket dol bolia kiccu taktonay,0,Akash,Done,,,
সব টাকা পাপুআপু খাইলে কেমনে দিবে খেলোয়াড় দের। তার দিন শেষ হলে আর খাবে না,"সব টেকা পাপু আপু খাইলে, খেলোয়াড়গোরে কেমনে দিবো? তার দিন শেষ অইলে আর খাইতে পারবো না।",sob teka papu ar apu kaile player hoklore kila dibo?tar din sesh oigele ar kaito partona,0,Akash,Done,,,
আগারওয়াল পিউর বাস্টার্ড এর কিছু হবে না???,"আগারওয়াল পিওর বাস্টার্ড, তার কিসু অইবো না নি?",agarwal pure bastard tar kiccu oitonani,0,Akash,Done,,,
জিকির করতে জানে না সেই মুর্খ আবার একজন ধারী বক্তাকে নিয়ে সমালোচনা করে।,"জিকির করতে জানইন না, সেই মূর্খ আবার ধারী বক্তার সমালোচনা করে।",jikir korto sinena ou murkho abar dhari boktar somalochona kore,0,Akash,Done,,,
আমি মিন্নির দায়িত্ব নিতে চাই সে যদি রাজি থাকে,"আমি  মিন্নির দায়িত্ব নিতে চাই, যদি সে রাজি অয়।",ami minnir dayitto nitam chai jodi tai raji oy,0,Akash,Done,,,
শেখ হাসিনা সাথে বেগম জিয়ার তুলনা করা যায় না আর কোথাকার কাউয়া,"শেখ হাসিনার লগে বেগম জিয়ার তুলনা অয় না, আর কইত্থেকা এই কাউয়া?",shek hasinar logeo begum zia r tulona oy na ar koi thaki ou kawwa,0,Akash,Done,,,
কাদের কাওয়া নামে পরিচিত বেগম জিয়া আপোষহীন দেশনেত্রী তিনবারের প্রধানমন্ত্রী। কোথায় বকরীর লাদি আর কোথায় শেখ সাদী।,"কাদের কাউয়া নামে চিনা যায়, বেগম জিয়া আপোষহীন দেশনেত্রী—তিনবারের প্রধানমন্ত্রী। কই বকরির লাদি, আর কই শেখ সাদী!",kader kawwa name e sina jay begum zia aposhhin netri tinbaror prodhanmontri koi bokhrir leda ar koi sheikh saadi,0,Akash,Done,,,
লাস্ট বল তো স্কোর বোর্ডে দেখা ভালো করে দেখালেন না,লাস্ট বলডা তো স্কোরবোর্ডে ভালা কইরা দেখাইলেন না।,last ball ta tow scoreboard o bala kri dekaila na,0,Akash,Done,,,
ছাত্র লিগ না বলে কুত্তা লীগ বলেন,ছাত্রলীগ না কইয়া কুত্তা লীগ কইন,chatro league na koia kutta league koukka,0,Akash,Done,,,
খালেদা এইট পাস,খালেদা এইট পাশ।,khaleda eight pass,0,Akash,Done,,,
এক্স,এক্স।,ex,0,Akash,Done,,,
অভাব থেকে মানুষের প্রকৃতপক্ষে এটাই ধ্যান ধারণা হয়।,অভাব থাইকা মানুষের আসল ধ্যান-ধারণা এইরকম অয়।,ovab thakia manush or asol den dharona elakan ay,0,Akash,Done,,,
আপনার লেখাগুলো বড় করে পড়লে কেমন জানি আম্বা আম্বা এর মত শোনাই,আপনের লেখা বড় কইরা পড়লে কেমন জানি “আম্বা আম্বা” এর মতো লাগে।,apnar lekha boro koria porle kila jani amba ambar lakan lage,0,Akash,Done,,,
কি অসাধারন অভিনয় ইলিয়াস কাঞ্চনের মুগ্ধহয়ে গেলাম,"কি অসাধারণ অভিনয়—ইলিয়াস কাঞ্চনর, মুগ্ধ অইয়া গেসি।",ki oshadaron ovinoy elias kanchon or mughdo oigesi,0,Akash,Done,,,
দুইটাই দুধওয়ালা অস্ট্রেলিয়ান গাভীর মত লাগে দুইটা কে,দুইডাই দুধওয়ালা অস্ট্রেলিয়ান গাভীর মতো লাগে দুইটা কে ,duitao dudhala australian gabhir lakan lage duitare,0,Akash,Done,,,
আমার গায়ের রক্ত টকবগিয়ে উঠেছে,আমার গায়ের রক্ত টগবগাইয়া উঠতাছে।,amar soriror rokto gorom oijar,0,Akash,Done,,,
মিনিট কে করছে জানস না ভাব ভুদাছ !!,মিনিট কে করছে জানস না—ভাব ছুদাছ!,minute ke korse janosnani vab chodas,0,Akash,Done,,,
যাওয়ার সময় সব এটাক ইন্জিনিয়ার��,যাওনের টাইমে অকল এটাক ইঞ্জিনিয়ার!,jawar somoy sob attack engineer,0,Akash,Done,,,
সাবাস খুলনা চালিয়ে যাও কাপ তোমাদেরই,"সাব্্বাস খুলনা—চালাইয়া যাও, কাপ তোমাগোই।",sabbash khulna salaia jao cup tumrar ow,0,Akash,Done,,,
এদের অভিনীত নাটক সিনেমা টেলিফিল্ম বয়কট করা উচিত,এদের অভিনীত নাটক-সিনেমা-টেলিফিল্ম বয়কট করা দরকার।,itar ovinoy kora natok cinema telefilm boycott kora dorkar,0,Akash,Done,,,
আমার দেখামতে মিরপুর মাজারে বেশি গাজা খাওয়া হয়ে,আমার দেখামতে মিরপুর মাজারে বেশি গাঁজা খাওয়া অয়।,amar dekha mote mirpur majaro beshi ganja kawa oy,0,Akash,Done,,,
এই সব এর জন্য বাংলাদেশ রা নাস্তিক হচ্চে। কি না হয় বাংলাদেশ এ,এইসবের লাইগা বাংলাদেশে টা নাস্তিক হইতেছে—কি না অয় বাংলাদেশে!,otar lagi bangladesh ta nastik oijar kita or samnedi bangladesh or,0,Akash,Done,,,
কিতা কইতাম ডিসি মিয়া শূন্য রানে বোল্ড হয়ে গেছে ����কিছুদিন পর এটাও আড়ালে চলে যাবে,কিতা কইতাম—ডিসি মিয়া শূন্য রানে বোল্ড অইয়া গেছে! কিছুদিন পর এইডাও চাপা পইড়া যাইবো।,kita koitam dc mia shunno run e bowled oigese kotodin bade oktao chapa porijibo,0,Akash,Done,,,
কিরে তাহেরি তুই বলে পীর তুই বড় শয়তান তুই মুনাফিক নাস্তিক এজিদতের ব শধর,"কিরে তাহেরি, তুঁই কি পীর  তুঁই বড় শয়তান তুই মুনাফিক, নাস্তিক, এজিদের বংশধর!",kita re taheri tui kita pir ni tui tow boro soytan munafik nastik ejidor bonshodhor,0,Akash,Done,,,
আমিও এক বছরের জন্ন ক্রিকেট খেলা দেখার বিরতি নিলাম।পাপনেরে জুতার বারি দাও।অর পদত্যাগ চাই,"আমিও এক বছরর লাইগা ক্রিকেট দেখা বন্ধ করলাম—পাপনরে জুতার বাড়ি দে, অর পদত্যাগ চাই।",ami ek bosror lagi cricket deka bondho korlam paponre jutar bari de ogur podoteg chai,0,Akash,Done,,,
সুন্দর।,সুন্দর।,sundor,0,Akash,Done,,,
মুশফিক ভাইয়ের সেন্চুরিটার জন্য আজকে ও অনেক আফসোস লাগলো।,মুশফিক ভাইর সেঞ্চুরির লাইগা আজও অনেক আফসোস লাগল,mushfik vair centuryr lagi aij bakka afsus laglo,0,Akash,Done,,,
কিরে এডমিন তৃর চোদ্দ গুষ্টি কপালে জুতার বাড়ি দেয়া দরকার,"কিরে এডমিন, তোর চৌদ্দ গুষ্টিরে কপালে জুতার বাড়ি দেওয়া দরকার!",kitare admin tor choiddo gushtir kopalo jutar bari deyar dorkar,0,Akash,Done,,,
কে কে দেখেছেন এই ছবিটি <br />� রিপ্লাই দিন,কে কে এই ছবি দেখছো—রিপ্লাই দেউক্কা ।,ke ke e sobi dekso reply deokka,0,Akash,Done,,,
শিশু বক্তা কেয়ামতের আলামত মিজানুর রহমান আজাহারি ্জুতা পিঠা করে মাহফিল হইতে ভাইর করে দেওয়া উচিৎ। কারন গিবত ছাড়া আর কিছু জানে না,"শিশু বক্তা, কেয়ামতের আলামত—মিজানুর রহমান আজহারিরে জুতা পিঠা কইরা মাহফিল থাইকা বাইর করা দরকার; গিবত ছাড়া কিসু জানে না।",shishu bokta kiyamot ow alamot mizanur rahman ajharire juta pitha koria mahfil thaki bar kora dorkar gibot chara kicchu jane na,0,Akash,Done,,,
আবশেষে আওয়ামিলীগের মন্ত্রী বাংলাদেশের সর্ববৃহৎ পাহাড় দুইটা কিনতে সক্ষম হলো��,শেষমেশ আওয়ামিলীগর মন্ত্রী বাংলাদেশের বড় দুইডা পাহাড় কিনতে পারলো!,seshmesh awamileague or montri bangladesh or duita boro pahar kinte parlo,0,Akash,Done,,,
বেঁচ আছেন?,বাঁচা আছো?,basia asotni?,0,Akash,Done,,,
